Sample,LatinName,CommonName,FullClutch,FlipperLength,BodyMass,Sex
1,Pygoscelis adeliae,Adelie penguin,Yes,181,3750,male
2,Pygoscelis adeliae,Adelie penguin,Yes,186,3800,female
3,Pygoscelis adeliae,Adelie penguin,Yes,195,3250,female
4,Pygoscelis adeliae,Adelie penguin,Yes,193,3450,female
5,Pygoscelis adeliae,Adelie penguin,Yes,190,3650,male
6,Pygoscelis adeliae,Adelie penguin,No,181,3625,female
7,Pygoscelis adeliae,Adelie penguin,No,195,4675,male
8,Pygoscelis adeliae,Adelie penguin,Yes,182,3200,female
9,Pygoscelis adeliae,Adelie penguin,Yes,191,3800,male
10,Pygoscelis adeliae,Adelie penguin,Yes,198,4400,male
11,Pygoscelis adeliae,Adelie penguin,Yes,185,3700,female
12,Pygoscelis adeliae,Adelie penguin,Yes,195,3450,female
13,Pygoscelis adeliae,Adelie penguin,Yes,197,4500,male
14,Pygoscelis adeliae,Adelie penguin,Yes,184,3325,female
15,Pygoscelis adeliae,Adelie penguin,Yes,194,4200,male
16,Pygoscelis adeliae,Adelie penguin,Yes,174,3400,female
17,Pygoscelis adeliae,Adelie penguin,Yes,180,3600,male
18,Pygoscelis adeliae,Adelie penguin,Yes,189,3800,female
19,Pygoscelis adeliae,Adelie penguin,Yes,185,3950,male
20,Pygoscelis adeliae,Adelie penguin,Yes,180,3800,male
21,Pygoscelis adeliae,Adelie penguin,Yes,187,3800,female
22,Pygoscelis adeliae,Adelie penguin,Yes,183,3550,male
23,Pygoscelis adeliae,Adelie penguin,Yes,187,3200,female
24,Pygoscelis adeliae,Adelie penguin,No,172,3150,female
25,Pygoscelis adeliae,Adelie penguin,No,180,3950,male
26,Pygoscelis adeliae,Adelie penguin,Yes,178,3250,female
27,Pygoscelis adeliae,Adelie penguin,Yes,178,3900,male
28,Pygoscelis adeliae,Adelie penguin,Yes,188,3300,female
29,Pygoscelis adeliae,Adelie penguin,Yes,184,3900,male
30,Pygoscelis adeliae,Adelie penguin,Yes,195,3325,female
31,Pygoscelis adeliae,Adelie penguin,Yes,196,4150,male
32,Pygoscelis adeliae,Adelie penguin,Yes,190,3950,male
33,Pygoscelis adeliae,Adelie penguin,Yes,180,3550,female
34,Pygoscelis adeliae,Adelie penguin,No,181,3300,female
35,Pygoscelis adeliae,Adelie penguin,No,184,4650,male
36,Pygoscelis adeliae,Adelie penguin,Yes,182,3150,female
37,Pygoscelis adeliae,Adelie penguin,Yes,195,3900,male
38,Pygoscelis adeliae,Adelie penguin,Yes,186,3100,female
39,Pygoscelis adeliae,Adelie penguin,Yes,196,4400,male
40,Pygoscelis adeliae,Adelie penguin,Yes,185,3000,female
41,Pygoscelis adeliae,Adelie penguin,Yes,190,4600,male
42,Pygoscelis adeliae,Adelie penguin,Yes,182,3425,male
43,Pygoscelis adeliae,Adelie penguin,Yes,190,3450,female
44,Pygoscelis adeliae,Adelie penguin,Yes,191,4150,male
45,Pygoscelis adeliae,Adelie penguin,Yes,186,3500,female
46,Pygoscelis adeliae,Adelie penguin,Yes,188,4300,male
47,Pygoscelis adeliae,Adelie penguin,Yes,190,3450,female
48,Pygoscelis adeliae,Adelie penguin,Yes,200,4050,male
49,Pygoscelis adeliae,Adelie penguin,Yes,187,2900,female
50,Pygoscelis adeliae,Adelie penguin,Yes,191,3700,male
51,Pygoscelis adeliae,Adelie penguin,Yes,186,3550,female
52,Pygoscelis adeliae,Adelie penguin,Yes,193,3800,male
53,Pygoscelis adeliae,Adelie penguin,Yes,181,2850,female
54,Pygoscelis adeliae,Adelie penguin,Yes,194,3750,male
55,Pygoscelis adeliae,Adelie penguin,Yes,185,3150,female
56,Pygoscelis adeliae,Adelie penguin,Yes,195,4400,male
57,Pygoscelis adeliae,Adelie penguin,Yes,185,3600,female
58,Pygoscelis adeliae,Adelie penguin,Yes,192,4050,male
59,Pygoscelis adeliae,Adelie penguin,Yes,184,2850,female
60,Pygoscelis adeliae,Adelie penguin,Yes,192,3950,male
61,Pygoscelis adeliae,Adelie penguin,Yes,195,3350,female
62,Pygoscelis adeliae,Adelie penguin,Yes,188,4100,male
63,Pygoscelis adeliae,Adelie penguin,No,190,3050,female
64,Pygoscelis adeliae,Adelie penguin,No,198,4450,male
65,Pygoscelis adeliae,Adelie penguin,Yes,190,3600,female
66,Pygoscelis adeliae,Adelie penguin,Yes,190,3900,male
67,Pygoscelis adeliae,Adelie penguin,Yes,196,3550,female
68,Pygoscelis adeliae,Adelie penguin,Yes,197,4150,male
69,Pygoscelis adeliae,Adelie penguin,Yes,190,3700,female
70,Pygoscelis adeliae,Adelie penguin,Yes,195,4250,male
71,Pygoscelis adeliae,Adelie penguin,Yes,191,3700,female
72,Pygoscelis adeliae,Adelie penguin,Yes,184,3900,male
73,Pygoscelis adeliae,Adelie penguin,Yes,187,3550,female
74,Pygoscelis adeliae,Adelie penguin,Yes,195,4000,male
75,Pygoscelis adeliae,Adelie penguin,Yes,189,3200,female
76,Pygoscelis adeliae,Adelie penguin,Yes,196,4700,male
77,Pygoscelis adeliae,Adelie penguin,Yes,187,3800,female
78,Pygoscelis adeliae,Adelie penguin,Yes,193,4200,male
79,Pygoscelis adeliae,Adelie penguin,Yes,191,3350,female
80,Pygoscelis adeliae,Adelie penguin,Yes,194,3550,male
81,Pygoscelis adeliae,Adelie penguin,Yes,190,3800,male
82,Pygoscelis adeliae,Adelie penguin,Yes,189,3500,female
83,Pygoscelis adeliae,Adelie penguin,Yes,189,3950,male
84,Pygoscelis adeliae,Adelie penguin,Yes,190,3600,female
85,Pygoscelis adeliae,Adelie penguin,Yes,202,3550,female
86,Pygoscelis adeliae,Adelie penguin,Yes,205,4300,male
87,Pygoscelis adeliae,Adelie penguin,Yes,185,3400,female
88,Pygoscelis adeliae,Adelie penguin,Yes,186,4450,male
89,Pygoscelis adeliae,Adelie penguin,Yes,187,3300,female
90,Pygoscelis adeliae,Adelie penguin,Yes,208,4300,male
91,Pygoscelis adeliae,Adelie penguin,Yes,190,3700,female
92,Pygoscelis adeliae,Adelie penguin,Yes,196,4350,male
93,Pygoscelis adeliae,Adelie penguin,Yes,178,2900,female
94,Pygoscelis adeliae,Adelie penguin,Yes,192,4100,male
95,Pygoscelis adeliae,Adelie penguin,Yes,192,3725,female
96,Pygoscelis adeliae,Adelie penguin,Yes,203,4725,male
97,Pygoscelis adeliae,Adelie penguin,Yes,183,3075,female
98,Pygoscelis adeliae,Adelie penguin,Yes,190,4250,male
99,Pygoscelis adeliae,Adelie penguin,Yes,193,2925,female
100,Pygoscelis adeliae,Adelie penguin,Yes,184,3550,male
101,Pygoscelis adeliae,Adelie penguin,Yes,199,3750,female
102,Pygoscelis adeliae,Adelie penguin,Yes,190,3900,male
103,Pygoscelis adeliae,Adelie penguin,Yes,181,3175,female
104,Pygoscelis adeliae,Adelie penguin,Yes,197,4775,male
105,Pygoscelis adeliae,Adelie penguin,Yes,198,3825,female
106,Pygoscelis adeliae,Adelie penguin,Yes,191,4600,male
107,Pygoscelis adeliae,Adelie penguin,Yes,193,3200,female
108,Pygoscelis adeliae,Adelie penguin,Yes,197,4275,male
109,Pygoscelis adeliae,Adelie penguin,Yes,191,3900,female
110,Pygoscelis adeliae,Adelie penguin,Yes,196,4075,male
111,Pygoscelis adeliae,Adelie penguin,Yes,188,2900,female
112,Pygoscelis adeliae,Adelie penguin,Yes,199,3775,male
113,Pygoscelis adeliae,Adelie penguin,Yes,189,3350,female
114,Pygoscelis adeliae,Adelie penguin,Yes,189,3325,male
115,Pygoscelis adeliae,Adelie penguin,No,187,3150,female
116,Pygoscelis adeliae,Adelie penguin,No,198,3500,male
117,Pygoscelis adeliae,Adelie penguin,Yes,176,3450,female
118,Pygoscelis adeliae,Adelie penguin,Yes,202,3875,male
119,Pygoscelis adeliae,Adelie penguin,Yes,186,3050,female
120,Pygoscelis adeliae,Adelie penguin,Yes,199,4000,male
121,Pygoscelis adeliae,Adelie penguin,Yes,191,3275,female
122,Pygoscelis adeliae,Adelie penguin,Yes,195,4300,male
123,Pygoscelis adeliae,Adelie penguin,Yes,191,3050,female
124,Pygoscelis adeliae,Adelie penguin,Yes,210,4000,male
125,Pygoscelis adeliae,Adelie penguin,No,190,3325,female
126,Pygoscelis adeliae,Adelie penguin,No,197,3500,male
127,Pygoscelis adeliae,Adelie penguin,Yes,193,3500,female
128,Pygoscelis adeliae,Adelie penguin,Yes,199,4475,male
129,Pygoscelis adeliae,Adelie penguin,Yes,187,3425,female
130,Pygoscelis adeliae,Adelie penguin,Yes,190,3900,male
131,Pygoscelis adeliae,Adelie penguin,Yes,191,3175,female
132,Pygoscelis adeliae,Adelie penguin,Yes,200,3975,male
133,Pygoscelis adeliae,Adelie penguin,No,185,3400,female
134,Pygoscelis adeliae,Adelie penguin,No,193,4250,male
135,Pygoscelis adeliae,Adelie penguin,Yes,193,3400,female
136,Pygoscelis adeliae,Adelie penguin,Yes,187,3475,male
137,Pygoscelis adeliae,Adelie penguin,Yes,188,3050,female
138,Pygoscelis adeliae,Adelie penguin,Yes,190,3725,male
139,Pygoscelis adeliae,Adelie penguin,Yes,192,3000,female
140,Pygoscelis adeliae,Adelie penguin,Yes,185,3650,male
141,Pygoscelis adeliae,Adelie penguin,Yes,190,4250,male
142,Pygoscelis adeliae,Adelie penguin,Yes,184,3475,female
143,Pygoscelis adeliae,Adelie penguin,Yes,195,3450,female
144,Pygoscelis adeliae,Adelie penguin,Yes,193,3750,male
145,Pygoscelis adeliae,Adelie penguin,Yes,187,3700,female
146,Pygoscelis adeliae,Adelie penguin,Yes,201,4000,male
147,Pygoscelis papua,Gentoo penguin,Yes,211,4500,female
148,Pygoscelis papua,Gentoo penguin,Yes,230,5700,male
149,Pygoscelis papua,Gentoo penguin,Yes,210,4450,female
150,Pygoscelis papua,Gentoo penguin,Yes,218,5700,male
151,Pygoscelis papua,Gentoo penguin,Yes,215,5400,male
152,Pygoscelis papua,Gentoo penguin,Yes,210,4550,female
153,Pygoscelis papua,Gentoo penguin,Yes,211,4800,female
154,Pygoscelis papua,Gentoo penguin,Yes,219,5200,male
155,Pygoscelis papua,Gentoo penguin,Yes,209,4400,female
156,Pygoscelis papua,Gentoo penguin,Yes,215,5150,male
157,Pygoscelis papua,Gentoo penguin,No,214,4650,female
158,Pygoscelis papua,Gentoo penguin,No,216,5550,male
159,Pygoscelis papua,Gentoo penguin,Yes,214,4650,female
160,Pygoscelis papua,Gentoo penguin,Yes,213,5850,male
161,Pygoscelis papua,Gentoo penguin,Yes,210,4200,female
162,Pygoscelis papua,Gentoo penguin,Yes,217,5850,male
163,Pygoscelis papua,Gentoo penguin,Yes,210,4150,female
164,Pygoscelis papua,Gentoo penguin,Yes,221,6300,male
165,Pygoscelis papua,Gentoo penguin,Yes,209,4800,female
166,Pygoscelis papua,Gentoo penguin,Yes,222,5350,male
167,Pygoscelis papua,Gentoo penguin,Yes,218,5700,male
168,Pygoscelis papua,Gentoo penguin,Yes,215,5000,female
169,Pygoscelis papua,Gentoo penguin,Yes,213,4400,female
170,Pygoscelis papua,Gentoo penguin,Yes,215,5050,male
171,Pygoscelis papua,Gentoo penguin,Yes,215,5000,female
172,Pygoscelis papua,Gentoo penguin,Yes,215,5100,male
174,Pygoscelis papua,Gentoo penguin,Yes,215,5650,male
175,Pygoscelis papua,Gentoo penguin,Yes,210,4600,female
176,Pygoscelis papua,Gentoo penguin,Yes,220,5550,male
177,Pygoscelis papua,Gentoo penguin,Yes,222,5250,male
178,Pygoscelis papua,Gentoo penguin,Yes,209,4700,female
179,Pygoscelis papua,Gentoo penguin,Yes,207,5050,female
180,Pygoscelis papua,Gentoo penguin,Yes,230,6050,male
181,Pygoscelis papua,Gentoo penguin,Yes,220,5150,female
182,Pygoscelis papua,Gentoo penguin,Yes,220,5400,male
183,Pygoscelis papua,Gentoo penguin,Yes,213,4950,female
184,Pygoscelis papua,Gentoo penguin,Yes,219,5250,male
185,Pygoscelis papua,Gentoo penguin,Yes,208,4350,female
186,Pygoscelis papua,Gentoo penguin,Yes,208,5350,male
187,Pygoscelis papua,Gentoo penguin,No,208,3950,female
188,Pygoscelis papua,Gentoo penguin,No,225,5700,male
189,Pygoscelis papua,Gentoo penguin,Yes,210,4300,female
190,Pygoscelis papua,Gentoo penguin,Yes,216,4750,male
191,Pygoscelis papua,Gentoo penguin,Yes,222,5550,male
192,Pygoscelis papua,Gentoo penguin,Yes,217,4900,female
193,Pygoscelis papua,Gentoo penguin,No,210,4200,female
194,Pygoscelis papua,Gentoo penguin,No,225,5400,male
195,Pygoscelis papua,Gentoo penguin,Yes,213,5100,female
196,Pygoscelis papua,Gentoo penguin,Yes,215,5300,male
197,Pygoscelis papua,Gentoo penguin,Yes,210,4850,female
198,Pygoscelis papua,Gentoo penguin,Yes,220,5300,male
199,Pygoscelis papua,Gentoo penguin,Yes,210,4400,female
200,Pygoscelis papua,Gentoo penguin,Yes,225,5000,male
201,Pygoscelis papua,Gentoo penguin,Yes,217,4900,female
202,Pygoscelis papua,Gentoo penguin,Yes,220,5050,male
203,Pygoscelis papua,Gentoo penguin,Yes,208,4300,female
204,Pygoscelis papua,Gentoo penguin,Yes,220,5000,male
205,Pygoscelis papua,Gentoo penguin,Yes,208,4450,female
206,Pygoscelis papua,Gentoo penguin,Yes,224,5550,male
207,Pygoscelis papua,Gentoo penguin,Yes,208,4200,female
208,Pygoscelis papua,Gentoo penguin,Yes,221,5300,male
209,Pygoscelis papua,Gentoo penguin,Yes,214,4400,female
210,Pygoscelis papua,Gentoo penguin,Yes,231,5650,male
211,Pygoscelis papua,Gentoo penguin,Yes,219,4700,female
212,Pygoscelis papua,Gentoo penguin,Yes,230,5700,male
214,Pygoscelis papua,Gentoo penguin,Yes,229,5800,male
215,Pygoscelis papua,Gentoo penguin,Yes,220,4700,female
216,Pygoscelis papua,Gentoo penguin,Yes,223,5550,male
217,Pygoscelis papua,Gentoo penguin,Yes,216,4750,female
218,Pygoscelis papua,Gentoo penguin,Yes,221,5000,male
219,Pygoscelis papua,Gentoo penguin,Yes,221,5100,male
220,Pygoscelis papua,Gentoo penguin,Yes,217,5200,female
221,Pygoscelis papua,Gentoo penguin,Yes,216,4700,female
222,Pygoscelis papua,Gentoo penguin,Yes,230,5800,male
223,Pygoscelis papua,Gentoo penguin,Yes,209,4600,female
224,Pygoscelis papua,Gentoo penguin,Yes,220,6000,male
225,Pygoscelis papua,Gentoo penguin,Yes,215,4750,female
226,Pygoscelis papua,Gentoo penguin,Yes,223,5950,male
227,Pygoscelis papua,Gentoo penguin,Yes,212,4625,female
228,Pygoscelis papua,Gentoo penguin,Yes,221,5450,male
229,Pygoscelis papua,Gentoo penguin,Yes,212,4725,female
230,Pygoscelis papua,Gentoo penguin,Yes,224,5350,male
231,Pygoscelis papua,Gentoo penguin,Yes,212,4750,female
232,Pygoscelis papua,Gentoo penguin,Yes,228,5600,male
233,Pygoscelis papua,Gentoo penguin,Yes,218,4600,female
234,Pygoscelis papua,Gentoo penguin,Yes,218,5300,male
235,Pygoscelis papua,Gentoo penguin,Yes,212,4875,female
236,Pygoscelis papua,Gentoo penguin,Yes,230,5550,male
237,Pygoscelis papua,Gentoo penguin,Yes,218,4950,female
238,Pygoscelis papua,Gentoo penguin,Yes,228,5400,male
239,Pygoscelis papua,Gentoo penguin,Yes,212,4750,female
240,Pygoscelis papua,Gentoo penguin,Yes,224,5650,male
241,Pygoscelis papua,Gentoo penguin,Yes,214,4850,female
242,Pygoscelis papua,Gentoo penguin,Yes,226,5200,male
243,Pygoscelis papua,Gentoo penguin,Yes,216,4925,male
244,Pygoscelis papua,Gentoo penguin,Yes,222,4875,female
245,Pygoscelis papua,Gentoo penguin,Yes,203,4625,female
246,Pygoscelis papua,Gentoo penguin,Yes,225,5250,male
247,Pygoscelis papua,Gentoo penguin,Yes,219,4850,female
248,Pygoscelis papua,Gentoo penguin,Yes,228,5600,male
249,Pygoscelis papua,Gentoo penguin,Yes,215,4975,female
250,Pygoscelis papua,Gentoo penguin,Yes,228,5500,male
252,Pygoscelis papua,Gentoo penguin,Yes,215,5500,male
253,Pygoscelis papua,Gentoo penguin,Yes,210,4700,female
254,Pygoscelis papua,Gentoo penguin,Yes,219,5500,male
255,Pygoscelis papua,Gentoo penguin,Yes,208,4575,female
256,Pygoscelis papua,Gentoo penguin,Yes,209,5500,male
257,Pygoscelis papua,Gentoo penguin,Yes,216,5000,female
258,Pygoscelis papua,Gentoo penguin,Yes,229,5950,male
259,Pygoscelis papua,Gentoo penguin,Yes,213,4650,female
260,Pygoscelis papua,Gentoo penguin,Yes,230,5500,male
261,Pygoscelis papua,Gentoo penguin,Yes,217,4375,female
262,Pygoscelis papua,Gentoo penguin,Yes,230,5850,male
264,Pygoscelis papua,Gentoo penguin,Yes,222,6000,male
265,Pygoscelis papua,Gentoo penguin,No,214,4925,female
266,Pygoscelis papua,Gentoo penguin,Yes,215,4850,female
267,Pygoscelis papua,Gentoo penguin,Yes,222,5750,male
268,Pygoscelis papua,Gentoo penguin,Yes,212,5200,female
269,Pygoscelis papua,Gentoo penguin,Yes,213,5400,male
270,Pygoscelis antarctica,Chinstrap penguin,No,192,3500,female
271,Pygoscelis antarctica,Chinstrap penguin,No,196,3900,male
272,Pygoscelis antarctica,Chinstrap penguin,Yes,193,3650,male
273,Pygoscelis antarctica,Chinstrap penguin,Yes,188,3525,female
274,Pygoscelis antarctica,Chinstrap penguin,Yes,197,3725,male
275,Pygoscelis antarctica,Chinstrap penguin,Yes,198,3950,female
276,Pygoscelis antarctica,Chinstrap penguin,Yes,178,3250,female
277,Pygoscelis antarctica,Chinstrap penguin,Yes,197,3750,male
278,Pygoscelis antarctica,Chinstrap penguin,Yes,195,4150,female
279,Pygoscelis antarctica,Chinstrap penguin,Yes,198,3700,male
280,Pygoscelis antarctica,Chinstrap penguin,Yes,193,3800,female
281,Pygoscelis antarctica,Chinstrap penguin,Yes,194,3775,male
282,Pygoscelis antarctica,Chinstrap penguin,Yes,185,3700,female
283,Pygoscelis antarctica,Chinstrap penguin,Yes,201,4050,male
284,Pygoscelis antarctica,Chinstrap penguin,Yes,190,3575,female
285,Pygoscelis antarctica,Chinstrap penguin,Yes,201,4050,male
286,Pygoscelis antarctica,Chinstrap penguin,No,197,3300,male
287,Pygoscelis antarctica,Chinstrap penguin,No,181,3700,female
288,Pygoscelis antarctica,Chinstrap penguin,Yes,190,3450,female
289,Pygoscelis antarctica,Chinstrap penguin,Yes,195,4400,male
290,Pygoscelis antarctica,Chinstrap penguin,Yes,181,3600,female
291,Pygoscelis antarctica,Chinstrap penguin,Yes,191,3400,male
292,Pygoscelis antarctica,Chinstrap penguin,No,187,2900,female
293,Pygoscelis antarctica,Chinstrap penguin,No,193,3800,male
294,Pygoscelis antarctica,Chinstrap penguin,No,195,3300,female
295,Pygoscelis antarctica,Chinstrap penguin,No,197,4150,male
296,Pygoscelis antarctica,Chinstrap penguin,No,200,3400,female
297,Pygoscelis antarctica,Chinstrap penguin,No,200,3800,male
298,Pygoscelis antarctica,Chinstrap penguin,Yes,191,3700,female
299,Pygoscelis antarctica,Chinstrap penguin,Yes,205,4550,male
300,Pygoscelis antarctica,Chinstrap penguin,Yes,187,3200,female
301,Pygoscelis antarctica,Chinstrap penguin,Yes,201,4300,male
302,Pygoscelis antarctica,Chinstrap penguin,Yes,187,3350,female
303,Pygoscelis antarctica,Chinstrap penguin,Yes,203,4100,male
304,Pygoscelis antarctica,Chinstrap penguin,Yes,195,3600,male
305,Pygoscelis antarctica,Chinstrap penguin,Yes,199,3900,female
306,Pygoscelis antarctica,Chinstrap penguin,Yes,195,3850,female
307,Pygoscelis antarctica,Chinstrap penguin,Yes,210,4800,male
308,Pygoscelis antarctica,Chinstrap penguin,No,192,2700,female
309,Pygoscelis antarctica,Chinstrap penguin,No,205,4500,male
310,Pygoscelis antarctica,Chinstrap penguin,Yes,210,3950,male
311,Pygoscelis antarctica,Chinstrap penguin,Yes,187,3650,female
312,Pygoscelis antarctica,Chinstrap penguin,Yes,196,3550,male
313,Pygoscelis antarctica,Chinstrap penguin,Yes,196,3500,female
314,Pygoscelis antarctica,Chinstrap penguin,Yes,196,3675,female
315,Pygoscelis antarctica,Chinstrap penguin,Yes,201,4450,male
316,Pygoscelis antarctica,Chinstrap penguin,Yes,190,3400,female
317,Pygoscelis antarctica,Chinstrap penguin,Yes,212,4300,male
318,Pygoscelis antarctica,Chinstrap penguin,Yes,187,3250,male
319,Pygoscelis antarctica,Chinstrap penguin,Yes,198,3675,female
320,Pygoscelis antarctica,Chinstrap penguin,Yes,199,3325,female
321,Pygoscelis antarctica,Chinstrap penguin,Yes,201,3950,male
322,Pygoscelis antarctica,Chinstrap penguin,Yes,193,3600,female
323,Pygoscelis antarctica,Chinstrap penguin,Yes,203,4050,male
324,Pygoscelis antarctica,Chinstrap penguin,Yes,187,3350,female
325,Pygoscelis antarctica,Chinstrap penguin,Yes,197,3450,male
326,Pygoscelis antarctica,Chinstrap penguin,Yes,191,3250,female
327,Pygoscelis antarctica,Chinstrap penguin,Yes,203,4050,male
328,Pygoscelis antarctica,Chinstrap penguin,Yes,202,3800,male
329,Pygoscelis antarctica,Chinstrap penguin,Yes,194,3525,female
330,Pygoscelis antarctica,Chinstrap penguin,Yes,206,3950,male
331,Pygoscelis antarctica,Chinstrap penguin,Yes,189,3650,female
332,Pygoscelis antarctica,Chinstrap penguin,Yes,195,3650,female
333,Pygoscelis antarctica,Chinstrap penguin,Yes,207,4000,male
334,Pygoscelis antarctica,Chinstrap penguin,No,202,3400,female
335,Pygoscelis antarctica,Chinstrap penguin,No,193,3775,male
336,Pygoscelis antarctica,Chinstrap penguin,Yes,210,4100,male
337,Pygoscelis antarctica,Chinstrap penguin,Yes,198,3775,female