Sample Number,LatinName,CommonName,Region,Island,FullClutch,EggDate,CulmenLength,CulmenDepth,FlipperLength,BodyMass,Sex
1,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,11/11/2007,39.5,17.4,186,3800,Female
2,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,16/11/2007,40.3,18,195,3250,Female
3,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,16/11/2007,36.7,19.3,193,3450,Female
4,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,16/11/2007,39.3,20.6,190,3650,Male
5,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,No,15/11/2007,38.9,17.8,181,3625,Female
6,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,No,15/11/2007,39.2,19.6,195,4675,Male
7,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,16/11/2007,34.6,21.1,198,4400,Male
8,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,12/11/2007,38.7,19,195,3450,Female
9,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,12/11/2007,42.5,20.7,197,4500,Male
10,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,16/11/2007,34.4,18.4,184,3325,Female
11,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,16/11/2007,46,21.5,194,4200,Male
12,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,12/11/2007,37.8,18.3,174,3400,Female
13,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,12/11/2007,37.7,18.7,180,3600,Male
14,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,12/11/2007,35.9,19.2,189,3800,Female
15,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,12/11/2007,38.2,18.1,185,3950,Male
16,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,10/11/2007,38.8,17.2,180,3800,Male
17,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,10/11/2007,35.3,18.9,187,3800,Female
18,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,12/11/2007,40.6,18.6,183,3550,Male
19,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,12/11/2007,40.5,17.9,187,3200,Female
20,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,No,10/11/2007,37.9,18.6,172,3150,Female
21,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,No,10/11/2007,40.5,18.9,180,3950,Male
22,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,09/11/2007,39.5,16.7,178,3250,Female
23,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,09/11/2007,37.2,18.1,178,3900,Male
24,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,09/11/2007,39.5,17.8,188,3300,Female
25,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,09/11/2007,40.9,18.9,184,3900,Male
26,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,16/11/2007,36.4,17,195,3325,Female
27,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,16/11/2007,39.2,21.1,196,4150,Male
28,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,16/11/2007,38.8,20,190,3950,Male
29,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,16/11/2007,42.2,18.5,180,3550,Female
30,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,No,13/11/2007,37.6,19.3,181,3300,Female
31,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,16/11/2007,36.5,18,182,3150,Female
32,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,19/11/2007,36,18.5,186,3100,Female
33,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,19/11/2007,44.1,19.7,196,4400,Male
34,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,16/11/2007,37,16.9,185,3000,Female
35,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,16/11/2007,39.6,18.8,190,4600,Male
36,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,13/11/2007,36,17.9,190,3450,Female
37,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,13/11/2007,42.3,21.2,191,4150,Male
38,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,06/11/2008,39.6,17.7,186,3500,Female
39,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,06/11/2008,40.1,18.9,188,4300,Male
40,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,09/11/2008,35,17.9,190,3450,Female
41,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,09/11/2008,42,19.5,200,4050,Male
42,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,09/11/2008,34.5,18.1,187,2900,Female
43,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,09/11/2008,41.4,18.6,191,3700,Male
44,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,15/11/2008,39,17.5,186,3550,Female
45,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,15/11/2008,40.6,18.8,193,3800,Male
46,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,15/11/2008,36.5,16.6,181,2850,Female
47,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,15/11/2008,37.6,19.1,194,3750,Male
48,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,13/11/2008,35.7,16.9,185,3150,Female
49,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,13/11/2008,41.3,21.1,195,4400,Male
50,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,13/11/2008,37.6,17,185,3600,Female
51,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,13/11/2008,41.1,18.2,192,4050,Male
52,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,13/11/2008,36.4,17.1,184,2850,Female
53,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,13/11/2008,41.6,18,192,3950,Male
54,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,06/11/2008,35.5,16.2,195,3350,Female
55,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,06/11/2008,41.1,19.1,188,4100,Male
56,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,No,11/11/2008,35.9,16.6,190,3050,Female
57,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,No,11/11/2008,41.8,19.4,198,4450,Male
58,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,14/11/2008,33.5,19,190,3600,Female
59,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,14/11/2008,39.7,18.4,190,3900,Male
60,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,11/11/2008,39.6,17.2,196,3550,Female
61,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,11/11/2008,45.8,18.9,197,4150,Male
62,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,08/11/2008,35.5,17.5,190,3700,Female
63,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,08/11/2008,42.8,18.5,195,4250,Male
64,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,06/11/2008,40.9,16.8,191,3700,Female
65,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,06/11/2008,37.2,19.4,184,3900,Male
66,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,09/11/2008,36.2,16.1,187,3550,Female
67,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,09/11/2008,42.1,19.1,195,4000,Male
68,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,02/11/2008,34.6,17.2,189,3200,Female
69,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,02/11/2008,42.9,17.6,196,4700,Male
70,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,07/11/2008,36.7,18.8,187,3800,Female
71,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,07/11/2008,35.1,19.4,193,4200,Male
72,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,17/11/2008,37.3,17.8,191,3350,Female
73,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,17/11/2008,41.3,20.3,194,3550,Male
74,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,08/11/2008,36.3,19.5,190,3800,Male
75,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,08/11/2008,36.9,18.6,189,3500,Female
76,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,08/11/2008,38.3,19.2,189,3950,Male
77,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,08/11/2008,38.9,18.8,190,3600,Female
78,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,14/11/2008,35.7,18,202,3550,Female
79,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,14/11/2008,41.1,18.1,205,4300,Male
80,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,05/11/2008,34,17.1,185,3400,Female
81,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,05/11/2008,39.6,18.1,186,4450,Male
82,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,17/11/2008,36.2,17.3,187,3300,Female
83,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,17/11/2008,40.8,18.9,208,4300,Male
84,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,08/11/2008,38.1,18.6,190,3700,Female
85,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,08/11/2008,40.3,18.5,196,4350,Male
86,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,10/11/2008,33.1,16.1,178,2900,Female
87,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,10/11/2008,43.2,18.5,192,4100,Male
88,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,09/11/2009,35,17.9,192,3725,Female
89,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,09/11/2009,41,20,203,4725,Male
90,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,15/11/2009,37.7,16,183,3075,Female
91,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,15/11/2009,37.8,20,190,4250,Male
92,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,15/11/2009,37.9,18.6,193,2925,Female
93,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,15/11/2009,39.7,18.9,184,3550,Male
94,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,15/11/2009,38.6,17.2,199,3750,Female
95,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,15/11/2009,38.2,20,190,3900,Male
96,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,20/11/2009,38.1,17,181,3175,Female
97,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,20/11/2009,43.2,19,197,4775,Male
98,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,12/11/2009,38.1,16.5,198,3825,Female
99,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,12/11/2009,45.6,20.3,191,4600,Male
100,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,15/11/2009,39.7,17.7,193,3200,Female
101,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,15/11/2009,42.2,19.5,197,4275,Male
102,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,17/11/2009,39.6,20.7,191,3900,Female
103,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,17/11/2009,42.7,18.3,196,4075,Male
104,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,18/11/2009,38.6,17,188,2900,Female
105,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,18/11/2009,37.3,20.5,199,3775,Male
106,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,22/11/2009,35.7,17,189,3350,Female
107,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,22/11/2009,41.1,18.6,189,3325,Male
108,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,No,17/11/2009,36.2,17.2,187,3150,Female
109,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,No,17/11/2009,37.7,19.8,198,3500,Male
110,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,16/11/2009,40.2,17,176,3450,Female
111,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,16/11/2009,41.4,18.5,202,3875,Male
112,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,18/11/2009,35.2,15.9,186,3050,Female
113,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,18/11/2009,40.6,19,199,4000,Male
114,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,21/11/2009,38.8,17.6,191,3275,Female
115,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,21/11/2009,41.5,18.3,195,4300,Male
116,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,18/11/2009,39,17.1,191,3050,Female
117,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,18/11/2009,44.1,18,210,4000,Male
118,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,No,23/11/2009,38.5,17.9,190,3325,Female
119,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,No,23/11/2009,43.1,19.2,197,3500,Male
120,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,10/11/2009,36.8,18.5,193,3500,Female
121,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,10/11/2009,37.5,18.5,199,4475,Male
122,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,13/11/2009,38.1,17.6,187,3425,Female
123,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,13/11/2009,41.1,17.5,190,3900,Male
124,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,16/11/2009,35.6,17.5,191,3175,Female
125,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,16/11/2009,40.2,20.1,200,3975,Male
126,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,No,16/11/2009,37,16.5,185,3400,Female
127,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,No,16/11/2009,39.7,17.9,193,4250,Male
128,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,14/11/2009,40.2,17.1,193,3400,Female
129,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,14/11/2009,40.6,17.2,187,3475,Male
130,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,16/11/2009,32.1,15.5,188,3050,Female
131,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,16/11/2009,40.7,17,190,3725,Male
132,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,16/11/2009,37.3,16.8,192,3000,Female
133,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,16/11/2009,39,18.7,185,3650,Male
134,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,13/11/2009,39.2,18.6,190,4250,Male
135,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,13/11/2009,36.6,18.4,184,3475,Female
136,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,17/11/2009,36,17.8,195,3450,Female
137,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,17/11/2009,37.8,18.1,193,3750,Male
138,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,17/11/2009,36,17.1,187,3700,Female
139,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,17/11/2009,41.5,18.5,201,4000,Male
140,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,Yes,27/11/2007,46.1,13.2,211,4500,Female
141,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,Yes,27/11/2007,50,16.3,230,5700,Male
142,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,Yes,27/11/2007,48.7,14.1,210,4450,Female
143,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,Yes,27/11/2007,50,15.2,218,5700,Male
144,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,Yes,18/11/2007,47.6,14.5,215,5400,Male
145,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,Yes,18/11/2007,46.5,13.5,210,4550,Female
146,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,Yes,27/11/2007,45.4,14.6,211,4800,Female
147,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,Yes,27/11/2007,46.7,15.3,219,5200,Male
148,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,Yes,27/11/2007,43.3,13.4,209,4400,Female
149,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,Yes,27/11/2007,46.8,15.4,215,5150,Male
150,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,No,27/11/2007,40.9,13.7,214,4650,Female
151,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,No,27/11/2007,49,16.1,216,5550,Male
152,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,Yes,29/11/2007,45.5,13.7,214,4650,Female
153,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,Yes,29/11/2007,48.4,14.6,213,5850,Male
154,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,Yes,03/12/2007,45.8,14.6,210,4200,Female
155,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,Yes,03/12/2007,49.3,15.7,217,5850,Male
156,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,Yes,27/11/2007,42,13.5,210,4150,Female
157,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,Yes,27/11/2007,49.2,15.2,221,6300,Male
158,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,Yes,27/11/2007,46.2,14.5,209,4800,Female
159,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,Yes,27/11/2007,48.7,15.1,222,5350,Male
160,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,Yes,27/11/2007,50.2,14.3,218,5700,Male
161,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,Yes,27/11/2007,45.1,14.5,215,5000,Female
162,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,Yes,27/11/2007,46.5,14.5,213,4400,Female
